law_id,act_name,violation_type,evidence,gap_amount,gap_percentage,severity,applicable_rule,state_affected,worker_id,industry,education,gender
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹17005 vs state minimum ₹20400,3395.0,16.642156862745097,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Haryana,25,Leather,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹12309 vs state minimum ₹20400,8091.0,39.661764705882355,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,26,Agriculture,5th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 57.3% of male average,9160.632458966098,42.667858783676834,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Maharashtra,26,Agriculture,5th Pass,Female
10,Agricultural Laborers Act (State-wise),Agricultural Wage Standard Violation,Agricultural worker earning 60.3% of agricultural average,5055.714956331874,29.1148744396081,HIGH,State Agricultural Laborers Act (varies by state),Maharashtra,26,Agriculture,5th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹13881 vs state minimum ₹19500,5619.0,28.815384615384616,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Rajasthan,27,Construction,5th Pass,Male
5,"Building and Other Construction Workers Act, 1996",Construction Wage Standard Violation,Construction worker earning 69.5% of construction average,3100.525546305933,18.258227376870767,HIGH,"Section 20-22 of Building & Construction Workers Act, 1996",Rajasthan,27,Construction,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹16277 vs state minimum ₹19500,3223.0,16.52820512820513,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Rajasthan,29,Machinery,10th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹11182 vs state minimum ₹19500,8318.0,42.656410256410254,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Uttar Pradesh,30,Manufacturing,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹14498 vs state minimum ₹21600,7102.0,32.87962962962963,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Karnataka,31,IT Services,Illiterate,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 67.5% of male average,6971.632458966098,32.47206244583205,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Karnataka,31,IT Services,Illiterate,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹16625 vs state minimum ₹19500,2875.0,14.743589743589745,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Telangana,32,Agriculture,10th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 77.4% of male average,4844.632458966098,22.565046086491776,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Telangana,32,Agriculture,10th Pass,Female
10,Agricultural Laborers Act (State-wise),Agricultural Wage Standard Violation,Agricultural worker earning 81.4% of agricultural average,739.7149563318744,4.259873877527396,HIGH,State Agricultural Laborers Act (varies by state),Telangana,32,Agriculture,10th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹17119 vs state minimum ₹18000,881.0,4.894444444444444,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Tamil Nadu,35,Construction,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹14013 vs state minimum ₹20400,6387.0,31.308823529411768,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Haryana,36,Textiles,10th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 65.3% of male average,7456.632458966098,34.731067116391536,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Haryana,36,Textiles,10th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹14998 vs state minimum ₹19500,4502.0,23.087179487179487,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Uttar Pradesh,39,IT Services,Illiterate,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 69.9% of male average,6471.632458966098,30.143191651440826,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Uttar Pradesh,39,IT Services,Illiterate,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹15059 vs state minimum ₹20400,5341.0,26.18137254901961,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,40,IT Services,10th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 70.1% of male average,6410.632458966098,29.859069414525095,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Maharashtra,40,IT Services,10th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹6435 vs state minimum ₹18000,11565.0,64.25,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Tamil Nadu,42,Small Manufacturing,Illiterate,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 30.0% of male average,15034.632458966098,70.02743287618493,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Tamil Nadu,42,Small Manufacturing,Illiterate,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹8241 vs state minimum ₹21600,13359.0,61.84722222222222,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Karnataka,43,Services,Illiterate,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 38.4% of male average,13228.632458966098,61.61555156684383,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Karnataka,43,Services,Illiterate,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹18554 vs state minimum ₹20400,1846.0,9.049019607843137,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,44,IT Services,12th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹11497 vs state minimum ₹19500,8003.0,41.04102564102564,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Uttar Pradesh,45,Leather,Illiterate,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹6254 vs state minimum ₹20400,14146.0,69.34313725490196,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,46,IT Services,Illiterate,Male
7,"Industrial Disputes Act, 1947",Weak Collective Bargaining / Union Protection,"Worker earning below fair wage threshold, no union protection",46.0,0.7301587301587302,MEDIUM,"Section 2A-2B of Industrial Disputes Act, 1947",Maharashtra,46,IT Services,Illiterate,Male
7,"Industrial Disputes Act, 1947",Weak Collective Bargaining / Union Protection,"Worker earning below fair wage threshold, no union protection",2139.0,7.427083333333333,MEDIUM,"Section 2A-2B of Industrial Disputes Act, 1947",Maharashtra,49,Agriculture,Graduate,Male
7,"Industrial Disputes Act, 1947",Weak Collective Bargaining / Union Protection,"Worker earning below fair wage threshold, no union protection",3812.0,13.236111111111112,MEDIUM,"Section 2A-2B of Industrial Disputes Act, 1947",Gujarat,50,Manufacturing,Graduate,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹19667 vs state minimum ₹20400,733.0,3.593137254901961,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,51,IT Services,Diploma,Male
7,"Industrial Disputes Act, 1947",Weak Collective Bargaining / Union Protection,"Worker earning below fair wage threshold, no union protection",133.0,0.6717171717171717,MEDIUM,"Section 2A-2B of Industrial Disputes Act, 1947",Maharashtra,51,IT Services,Diploma,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹19229 vs state minimum ₹19500,271.0,1.3897435897435897,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Uttar Pradesh,52,IT Services,10th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹19087 vs state minimum ₹20400,1313.0,6.436274509803922,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Haryana,53,Agriculture,10th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹16616 vs state minimum ₹19500,2884.0,14.78974358974359,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Uttar Pradesh,54,Retail,Illiterate,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 77.4% of male average,4853.632458966098,22.60696576079082,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Uttar Pradesh,54,Retail,Illiterate,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹19257 vs state minimum ₹19500,243.0,1.2461538461538462,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Uttar Pradesh,55,Textiles,5th Pass,Male
7,"Industrial Disputes Act, 1947",Weak Collective Bargaining / Union Protection,"Worker earning below fair wage threshold, no union protection",3435.0,8.481481481481481,MEDIUM,"Section 2A-2B of Industrial Disputes Act, 1947",Uttar Pradesh,58,IT Services,Post-Graduate,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹16665 vs state minimum ₹20400,3735.0,18.308823529411764,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,59,Small Manufacturing,Diploma,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 77.6% of male average,4804.632458966098,22.378736422940477,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Maharashtra,59,Small Manufacturing,Diploma,Female
7,"Industrial Disputes Act, 1947",Weak Collective Bargaining / Union Protection,"Worker earning below fair wage threshold, no union protection",3135.0,15.833333333333332,HIGH,"Section 2A-2B of Industrial Disputes Act, 1947",Maharashtra,59,Small Manufacturing,Diploma,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹9582 vs state minimum ₹18000,8418.0,46.766666666666666,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Tamil Nadu,62,Silk,Illiterate,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹14184 vs state minimum ₹20400,6216.0,30.470588235294116,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,63,Construction,5th Pass,Male
5,"Building and Other Construction Workers Act, 1996",Construction Wage Standard Violation,Construction worker earning 71.0% of construction average,2797.525546305933,16.473935387474604,HIGH,"Section 20-22 of Building & Construction Workers Act, 1996",Maharashtra,63,Construction,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹19113 vs state minimum ₹20400,1287.0,6.308823529411765,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,64,Textiles,10th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹7871 vs state minimum ₹21600,13729.0,63.56018518518518,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Karnataka,65,Agriculture,Illiterate,Male
10,Agricultural Laborers Act (State-wise),Agricultural Wage Standard Violation,Agricultural worker earning 38.5% of agricultural average,9493.714956331874,54.67244916030184,HIGH,State Agricultural Laborers Act (varies by state),Karnataka,65,Agriculture,Illiterate,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹7630 vs state minimum ₹20400,12770.0,62.59803921568627,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Haryana,69,Manufacturing,Illiterate,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹16954 vs state minimum ₹21600,4646.0,21.50925925925926,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Karnataka,71,Leather,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹17956 vs state minimum ₹18000,44.0,0.24444444444444444,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Madhya Pradesh,72,Textiles,12th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 83.6% of male average,3513.632458966098,16.365592031822338,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Madhya Pradesh,72,Textiles,12th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 85.4% of male average,3134.632458966098,14.60030796967379,HIGH,"Section 5 of Equal Remuneration Act, 1976",Odisha,75,Food Processing,12th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹16029 vs state minimum ₹17800,1771.0,9.94943820224719,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Jharkhand,76,Agriculture,10th Pass,Male
10,Agricultural Laborers Act (State-wise),Agricultural Wage Standard Violation,Agricultural worker earning 78.5% of agricultural average,1335.7149563318744,7.692121406489422,HIGH,State Agricultural Laborers Act (varies by state),Jharkhand,76,Agriculture,10th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹17755 vs state minimum ₹20400,2645.0,12.965686274509805,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,78,Mining,Illiterate,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹15123 vs state minimum ₹19500,4377.0,22.446153846153845,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Rajasthan,79,Agriculture,5th Pass,Male
10,Agricultural Laborers Act (State-wise),Agricultural Wage Standard Violation,Agricultural worker earning 74.0% of agricultural average,2241.7149563318744,12.909598354878005,HIGH,State Agricultural Laborers Act (varies by state),Rajasthan,79,Agriculture,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹12496 vs state minimum ₹18000,5504.0,30.577777777777776,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Tamil Nadu,80,Construction,5th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 58.2% of male average,8973.632458966098,41.79686110657451,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Tamil Nadu,80,Construction,5th Pass,Female
5,"Building and Other Construction Workers Act, 1996",Construction Wage Standard Violation,Construction worker earning 62.5% of construction average,4485.525546305933,26.414149506618912,HIGH,"Section 20-22 of Building & Construction Workers Act, 1996",Tamil Nadu,80,Construction,5th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹15413 vs state minimum ₹17800,2387.0,13.41011235955056,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Jharkhand,81,Construction,5th Pass,Male
5,"Building and Other Construction Workers Act, 1996",Construction Wage Standard Violation,Construction worker earning 77.1% of construction average,1568.525546305933,9.236658638405672,HIGH,"Section 20-22 of Building & Construction Workers Act, 1996",Jharkhand,81,Construction,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹15265 vs state minimum ₹20400,5135.0,25.17156862745098,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Haryana,83,Retail,5th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 71.1% of male average,6204.632458966098,28.89957464723591,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Haryana,83,Retail,5th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹12237 vs state minimum ₹20400,8163.0,40.01470588235294,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,84,Machinery,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹14196 vs state minimum ₹19500,5304.0,27.200000000000003,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Rajasthan,85,Retail,10th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 66.1% of male average,7273.632458966098,33.878700405644345,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Rajasthan,85,Retail,10th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹13637 vs state minimum ₹20400,6763.0,33.15196078431373,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",West Bengal,86,Services,Illiterate,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹17904 vs state minimum ₹20400,2496.0,12.23529411764706,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,87,Construction,10th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 83.4% of male average,3565.632458966098,16.607794594439028,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Maharashtra,87,Construction,10th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹18991 vs state minimum ₹21600,2609.0,12.078703703703704,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Karnataka,88,Services,12th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹19773 vs state minimum ₹21600,1827.0,8.458333333333332,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Gujarat,89,Construction,12th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹20387 vs state minimum ₹21600,1213.0,5.6157407407407405,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Gujarat,91,Manufacturing,12th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹13640 vs state minimum ₹20400,6760.0,33.13725490196078,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,93,Mining,10th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 63.5% of male average,7829.632458966098,36.46840472900739,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Maharashtra,93,Mining,10th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹10245 vs state minimum ₹21600,11355.0,52.56944444444444,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Karnataka,98,Manufacturing,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹13611 vs state minimum ₹21600,7989.0,36.98611111111111,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Karnataka,100,Retail,10th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹19942 vs state minimum ₹21600,1658.0,7.6759259259259265,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Karnataka,102,Agriculture,10th Pass,Male
7,"Industrial Disputes Act, 1947",Weak Collective Bargaining / Union Protection,"Worker earning below fair wage threshold, no union protection",224.0,1.1313131313131313,MEDIUM,"Section 2A-2B of Industrial Disputes Act, 1947",Tamil Nadu,103,Agriculture,Diploma,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹9195 vs state minimum ₹18000,8805.0,48.91666666666667,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Madhya Pradesh,104,Chemicals,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹11910 vs state minimum ₹20400,8490.0,41.61764705882353,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",West Bengal,106,Textiles,Illiterate,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹15201 vs state minimum ₹21600,6399.0,29.625,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Karnataka,107,Chemicals,Illiterate,Male
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 87.9% of male average,2602.632458966098,12.122389444441527,HIGH,"Section 5 of Equal Remuneration Act, 1976",Madhya Pradesh,108,Textiles,10th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹13655 vs state minimum ₹21600,7945.0,36.782407407407405,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Karnataka,109,IT Services,12th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 63.6% of male average,7814.632458966098,36.39853860517565,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Karnataka,109,IT Services,12th Pass,Female
7,"Industrial Disputes Act, 1947",Weak Collective Bargaining / Union Protection,"Worker earning below fair wage threshold, no union protection",2545.0,15.709876543209877,HIGH,"Section 2A-2B of Industrial Disputes Act, 1947",Karnataka,109,IT Services,12th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹12080 vs state minimum ₹21600,9520.0,44.074074074074076,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Karnataka,110,Textiles,10th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 56.3% of male average,9389.632458966098,43.734481607508016,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Karnataka,110,Textiles,10th Pass,Female
7,"Industrial Disputes Act, 1947",Weak Collective Bargaining / Union Protection,"Worker earning below fair wage threshold, no union protection",520.0,4.1269841269841265,MEDIUM,"Section 2A-2B of Industrial Disputes Act, 1947",Karnataka,110,Textiles,10th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹17733 vs state minimum ₹18500,767.0,4.145945945945946,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Punjab,112,Textiles,10th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹9357 vs state minimum ₹20400,11043.0,54.13235294117648,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Haryana,116,Small Manufacturing,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹15878 vs state minimum ₹21600,5722.0,26.490740740740744,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Karnataka,118,Leather,12th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 74.0% of male average,5591.632458966098,26.044379053312266,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Karnataka,118,Leather,12th Pass,Female
7,"Industrial Disputes Act, 1947",Weak Collective Bargaining / Union Protection,"Worker earning below fair wage threshold, no union protection",322.0,1.9876543209876543,MEDIUM,"Section 2A-2B of Industrial Disputes Act, 1947",Karnataka,118,Leather,12th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹15227 vs state minimum ₹20400,5173.0,25.357843137254903,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,121,Manufacturing,10th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 70.9% of male average,6242.632458966098,29.076568827609645,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Maharashtra,121,Manufacturing,10th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 87.7% of male average,2632.632458966098,12.262121692105001,HIGH,"Section 5 of Equal Remuneration Act, 1976",Punjab,122,Silk,12th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹15945 vs state minimum ₹19500,3555.0,18.23076923076923,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Uttar Pradesh,123,Mining,10th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹13210 vs state minimum ₹18000,4790.0,26.611111111111114,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Tamil Nadu,125,IT Services,10th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 61.5% of male average,8259.632458966098,38.471233612183845,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Tamil Nadu,125,IT Services,10th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹19983 vs state minimum ₹21600,1617.0,7.486111111111112,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Gujarat,126,Food Processing,10th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹7452 vs state minimum ₹18000,10548.0,58.599999999999994,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Madhya Pradesh,127,Manufacturing,Illiterate,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹11448 vs state minimum ₹19500,8052.0,41.292307692307695,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Uttar Pradesh,128,Agriculture,5th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 53.3% of male average,10021.632458966098,46.67817429161852,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Uttar Pradesh,128,Agriculture,5th Pass,Female
10,Agricultural Laborers Act (State-wise),Agricultural Wage Standard Violation,Agricultural worker earning 56.0% of agricultural average,5916.714956331874,34.0732051819509,HIGH,State Agricultural Laborers Act (varies by state),Uttar Pradesh,128,Agriculture,5th Pass,Female
