worker_id,state,industry,gender,education_level,experience_years,actual_monthly_wage,min_wage_standard,wage_gap,gap_percentage,is_underpaid,fair_wage_estimate,fair_wage_gap,fair_wage_gap_pct
19,Telangana,Mining,Male,12th Pass,18,19135,19500,365,1.87,True,18000,-1135,-6.31
20,Gujarat,Silk,Male,10th Pass,33,26149,21600,-4549,-21.06,False,14000,-12149,-86.78
21,Tamil Nadu,Construction,Female,12th Pass,1,14905,18000,3095,17.19,True,18000,3095,17.19
22,Karnataka,Food Processing,Female,10th Pass,28,16506,21600,5094,23.58,True,14000,-2506,-17.9
23,West Bengal,Silk,Female,5th Pass,5,10351,20400,10049,49.26,True,9000,-1351,-15.01
24,Gujarat,Food Processing,Male,10th Pass,27,22271,21600,-671,-3.11,False,14000,-8271,-59.08
25,Madhya Pradesh,Agriculture,Male,Illiterate,34,17276,18000,724,4.02,True,7000,-10276,-146.8
26,Punjab,Mining,Female,12th Pass,16,17530,18500,970,5.24,True,18000,470,2.61
27,Haryana,Silk,Female,5th Pass,10,9241,20400,11159,54.7,True,9000,-241,-2.68
28,Uttar Pradesh,Agriculture,Male,12th Pass,12,21934,19500,-2434,-12.48,False,18000,-3934,-21.86
29,Maharashtra,Agriculture,Female,10th Pass,27,22456,20400,-2056,-10.08,False,14000,-8456,-60.4
30,Jharkhand,Agriculture,Female,12th Pass,4,14997,17800,2803,15.75,True,18000,3003,16.68
31,Maharashtra,Metals,Male,10th Pass,34,21275,20400,-875,-4.29,False,14000,-7275,-51.96
32,Karnataka,Textiles,Female,12th Pass,24,22522,21600,-922,-4.27,False,18000,-4522,-25.12
33,Gujarat,Agriculture,Male,12th Pass,34,30140,21600,-8540,-39.54,False,18000,-12140,-67.44
34,Uttar Pradesh,Textiles,Male,10th Pass,21,20267,19500,-767,-3.93,False,14000,-6267,-44.76
35,Uttar Pradesh,Metals,Female,12th Pass,10,19170,19500,330,1.69,True,18000,-1170,-6.5
36,Telangana,Small Manufacturing,Male,Illiterate,21,14615,19500,4885,25.05,True,7000,-7615,-108.79
37,Maharashtra,Metals,Female,12th Pass,1,17676,20400,2724,13.35,True,18000,324,1.8
38,Odisha,Chemicals,Female,Graduate,25,32906,17500,-15406,-88.03,False,32000,-906,-2.83
39,Haryana,Construction,Male,5th Pass,23,18527,20400,1873,9.18,True,9000,-9527,-105.86
40,Odisha,Chemicals,Male,12th Pass,23,26531,17500,-9031,-51.61,False,18000,-8531,-47.39
41,Karnataka,IT Services,Male,12th Pass,20,25812,21600,-4212,-19.5,False,18000,-7812,-43.4
42,Maharashtra,Construction,Male,Diploma,16,26450,20400,-6050,-29.66,False,22000,-4450,-20.23
43,Gujarat,Food Processing,Male,Diploma,33,34534,21600,-12934,-59.88,False,22000,-12534,-56.97
44,Karnataka,Agriculture,Female,Diploma,5,18581,21600,3019,13.98,True,22000,3419,15.54
45,Karnataka,Chemicals,Female,10th Pass,31,18553,21600,3047,14.11,True,14000,-4553,-32.52
46,Gujarat,Food Processing,Female,5th Pass,21,10551,21600,11049,51.15,True,9000,-1551,-17.23
47,Tamil Nadu,Manufacturing,Female,Graduate,23,26561,18000,-8561,-47.56,False,32000,5439,17.0
48,Karnataka,Manufacturing,Female,Illiterate,22,13459,21600,8141,37.69,True,7000,-6459,-92.27
49,Maharashtra,Retail,Female,12th Pass,5,19847,20400,553,2.71,True,18000,-1847,-10.26
50,Maharashtra,Machinery,Male,Illiterate,23,15229,20400,5171,25.35,True,7000,-8229,-117.56
51,Odisha,Agriculture,Male,12th Pass,4,18633,17500,-1133,-6.47,False,18000,-633,-3.52
52,Madhya Pradesh,Silk,Male,10th Pass,10,17626,18000,374,2.08,True,14000,-3626,-25.9
53,Uttar Pradesh,Agriculture,Male,Graduate,13,41743,19500,-22243,-114.07,False,32000,-9743,-30.45
54,Maharashtra,Small Manufacturing,Male,Diploma,0,19833,20400,567,2.78,True,22000,2167,9.85
55,Uttar Pradesh,Retail,Male,10th Pass,31,22982,19500,-3482,-17.86,False,14000,-8982,-64.16
56,Punjab,IT Services,Female,10th Pass,29,17772,18500,728,3.94,True,14000,-3772,-26.94
57,Karnataka,Retail,Female,12th Pass,25,22181,21600,-581,-2.69,False,18000,-4181,-23.23
58,Gujarat,IT Services,Female,5th Pass,10,8604,21600,12996,60.17,True,9000,396,4.4
59,Haryana,Textiles,Female,10th Pass,21,14025,20400,6375,31.25,True,14000,-25,-0.18
60,Haryana,Agriculture,Female,Illiterate,6,7895,20400,12505,61.3,True,7000,-895,-12.79
61,Rajasthan,Metals,Female,Illiterate,7,8249,19500,11251,57.7,True,7000,-1249,-17.84
62,Haryana,Construction,Male,12th Pass,3,18125,20400,2275,11.15,True,18000,-125,-0.69
63,Maharashtra,Leather,Male,10th Pass,20,23123,20400,-2723,-13.35,False,14000,-9123,-65.16
64,Gujarat,Agriculture,Male,5th Pass,24,17419,21600,4181,19.36,True,9000,-8419,-93.54
65,Gujarat,Manufacturing,Male,Graduate,18,40870,21600,-19270,-89.21,False,32000,-8870,-27.72
66,Tamil Nadu,IT Services,Male,Illiterate,5,9781,18000,8219,45.66,True,7000,-2781,-39.73
67,Haryana,Textiles,Male,Diploma,33,27282,20400,-6882,-33.74,False,22000,-5282,-24.01
68,Chhattisgarh,Small Manufacturing,Male,10th Pass,24,17361,22500,5139,22.84,True,14000,-3361,-24.01
69,West Bengal,IT Services,Male,12th Pass,25,24268,20400,-3868,-18.96,False,18000,-6268,-34.82
70,Uttar Pradesh,Chemicals,Female,10th Pass,34,22844,19500,-3344,-17.15,False,14000,-8844,-63.17
71,West Bengal,Construction,Male,10th Pass,20,19346,20400,1054,5.17,True,14000,-5346,-38.19
72,West Bengal,IT Services,Female,12th Pass,0,12903,20400,7497,36.75,True,18000,5097,28.32
73,Tamil Nadu,Agriculture,Female,Diploma,13,26054,18000,-8054,-44.74,False,22000,-4054,-18.43
74,Maharashtra,Agriculture,Male,Graduate,26,36564,20400,-16164,-79.24,False,32000,-4564,-14.26
75,Haryana,Manufacturing,Male,10th Pass,8,13768,20400,6632,32.51,True,14000,232,1.66
76,Uttar Pradesh,Metals,Male,12th Pass,22,24579,19500,-5079,-26.05,False,18000,-6579,-36.55
77,Uttar Pradesh,Manufacturing,Male,10th Pass,7,18907,19500,593,3.04,True,14000,-4907,-35.05
78,Gujarat,Manufacturing,Female,12th Pass,0,14484,21600,7116,32.94,True,18000,3516,19.53
79,Uttar Pradesh,IT Services,Male,12th Pass,20,22851,19500,-3351,-17.18,False,18000,-4851,-26.95
80,Uttar Pradesh,Chemicals,Male,12th Pass,22,26148,19500,-6648,-34.09,False,18000,-8148,-45.27
81,Madhya Pradesh,Leather,Male,10th Pass,33,24696,18000,-6696,-37.2,False,14000,-10696,-76.4
82,Maharashtra,Agriculture,Male,Diploma,7,28906,20400,-8506,-41.7,False,22000,-6906,-31.39
83,Gujarat,Leather,Female,Diploma,16,21909,21600,-309,-1.43,False,22000,91,0.41
84,Tamil Nadu,Leather,Female,5th Pass,17,13989,18000,4011,22.28,True,9000,-4989,-55.43
85,Uttar Pradesh,Agriculture,Female,10th Pass,16,17836,19500,1664,8.53,True,14000,-3836,-27.4
86,Chhattisgarh,IT Services,Male,12th Pass,6,17139,22500,5361,23.83,True,18000,861,4.78
87,Chhattisgarh,Chemicals,Male,Illiterate,32,18646,22500,3854,17.13,True,7000,-11646,-166.37
88,West Bengal,Agriculture,Female,5th Pass,14,12611,20400,7789,38.18,True,9000,-3611,-40.12
89,Uttar Pradesh,Small Manufacturing,Female,10th Pass,14,13034,19500,6466,33.16,True,14000,966,6.9
90,Uttar Pradesh,IT Services,Female,10th Pass,31,19678,19500,-178,-0.91,False,14000,-5678,-40.56
91,Chhattisgarh,Small Manufacturing,Male,Illiterate,32,14154,22500,8346,37.09,True,7000,-7154,-102.2
92,Maharashtra,Manufacturing,Male,12th Pass,1,17039,20400,3361,16.48,True,18000,961,5.34
93,Telangana,Chemicals,Male,10th Pass,9,13629,19500,5871,30.11,True,14000,371,2.65
94,Uttar Pradesh,Leather,Male,5th Pass,31,14744,19500,4756,24.39,True,9000,-5744,-63.82
95,Tamil Nadu,IT Services,Male,12th Pass,22,25524,18000,-7524,-41.8,False,18000,-7524,-41.8
96,Gujarat,Manufacturing,Male,10th Pass,2,14740,21600,6860,31.76,True,14000,-740,-5.29
97,Punjab,Metals,Male,Graduate,32,44486,18500,-25986,-140.46,False,32000,-12486,-39.02
98,Uttar Pradesh,Construction,Male,5th Pass,27,14289,19500,5211,26.72,True,9000,-5289,-58.77
99,Karnataka,Services,Female,10th Pass,8,11736,21600,9864,45.67,True,14000,2264,16.17
100,Telangana,Services,Female,12th Pass,29,20154,19500,-654,-3.35,False,18000,-2154,-11.97
101,Uttar Pradesh,Manufacturing,Male,12th Pass,34,29884,19500,-10384,-53.25,False,18000,-11884,-66.02
102,Uttar Pradesh,Construction,Male,5th Pass,5,12576,19500,6924,35.51,True,9000,-3576,-39.73
103,Uttar Pradesh,Metals,Male,12th Pass,18,27896,19500,-8396,-43.06,False,18000,-9896,-54.98
104,Haryana,Chemicals,Female,Graduate,5,33343,20400,-12943,-63.45,False,32000,-1343,-4.2
105,Gujarat,Agriculture,Male,Diploma,6,19566,21600,2034,9.42,True,22000,2434,11.06
106,Jharkhand,Mining,Female,5th Pass,32,14539,17800,3261,18.32,True,9000,-5539,-61.54
107,Tamil Nadu,Construction,Female,Diploma,8,17188,18000,812,4.51,True,22000,4812,21.87
108,Jharkhand,Manufacturing,Female,12th Pass,20,17385,17800,415,2.33,True,18000,615,3.42
109,Maharashtra,IT Services,Male,10th Pass,22,20515,20400,-115,-0.56,False,14000,-6515,-46.54
110,West Bengal,Mining,Female,5th Pass,34,16173,20400,4227,20.72,True,9000,-7173,-79.7
111,Uttar Pradesh,Retail,Male,5th Pass,6,11217,19500,8283,42.48,True,9000,-2217,-24.63
112,Gujarat,Small Manufacturing,Male,10th Pass,29,19879,21600,1721,7.97,True,14000,-5879,-41.99
113,West Bengal,Leather,Female,12th Pass,18,22151,20400,-1751,-8.58,False,18000,-4151,-23.06
114,Rajasthan,Metals,Male,10th Pass,29,22763,19500,-3263,-16.73,False,14000,-8763,-62.59
115,Haryana,Textiles,Male,5th Pass,31,15404,20400,4996,24.49,True,9000,-6404,-71.16
116,Maharashtra,Silk,Female,12th Pass,31,20029,20400,371,1.82,True,18000,-2029,-11.27
117,Uttar Pradesh,Retail,Male,10th Pass,17,22629,19500,-3129,-16.05,False,14000,-8629,-61.64
118,Uttar Pradesh,Agriculture,Male,Illiterate,3,8433,19500,11067,56.75,True,7000,-1433,-20.47
119,Madhya Pradesh,Retail,Female,5th Pass,34,14601,18000,3399,18.88,True,9000,-5601,-62.23
120,Gujarat,Food Processing,Male,10th Pass,19,21183,21600,417,1.93,True,14000,-7183,-51.31
121,Chhattisgarh,Food Processing,Male,12th Pass,14,24231,22500,-1731,-7.69,False,18000,-6231,-34.62
122,Telangana,Leather,Male,10th Pass,29,20926,19500,-1426,-7.31,False,14000,-6926,-49.47
123,Tamil Nadu,IT Services,Male,10th Pass,20,16905,18000,1095,6.08,True,14000,-2905,-20.75
124,Chhattisgarh,Agriculture,Female,10th Pass,22,17302,22500,5198,23.1,True,14000,-3302,-23.59
125,Uttar Pradesh,Small Manufacturing,Male,12th Pass,10,23331,19500,-3831,-19.65,False,18000,-5331,-29.62
126,Rajasthan,Metals,Male,5th Pass,30,18166,19500,1334,6.84,True,9000,-9166,-101.84
127,Chhattisgarh,Small Manufacturing,Female,10th Pass,10,13957,22500,8543,37.97,True,14000,43,0.31
128,Karnataka,Leather,Male,Illiterate,8,10144,21600,11456,53.04,True,7000,-3144,-44.91
129,Maharashtra,Agriculture,Female,12th Pass,34,28167,20400,-7767,-38.07,False,18000,-10167,-56.48
130,Punjab,Metals,Male,12th Pass,18,20122,18500,-1622,-8.77,False,18000,-2122,-11.79
131,Uttar Pradesh,Manufacturing,Male,Diploma,1,24899,19500,-5399,-27.69,False,22000,-2899,-13.18
132,Maharashtra,Chemicals,Female,5th Pass,28,14478,20400,5922,29.03,True,9000,-5478,-60.87
133,Madhya Pradesh,Agriculture,Female,Diploma,1,16375,18000,1625,9.03,True,22000,5625,25.57
134,Uttar Pradesh,Metals,Male,10th Pass,19,23403,19500,-3903,-20.02,False,14000,-9403,-67.16
135,Karnataka,Metals,Female,5th Pass,31,15580,21600,6020,27.87,True,9000,-6580,-73.11
136,Telangana,IT Services,Male,10th Pass,33,28208,19500,-8708,-44.66,False,14000,-14208,-101.49
137,Maharashtra,Food Processing,Male,Post-Graduate,23,56115,20400,-35715,-175.07,False,45000,-11115,-24.7
138,Uttar Pradesh,Machinery,Female,10th Pass,24,16671,19500,2829,14.51,True,14000,-2671,-19.08
139,Jharkhand,Metals,Female,Diploma,0,18497,17800,-697,-3.92,False,22000,3503,15.92
140,Madhya Pradesh,Agriculture,Female,12th Pass,11,20288,18000,-2288,-12.71,False,18000,-2288,-12.71
141,Tamil Nadu,Construction,Female,10th Pass,27,18316,18000,-316,-1.76,False,14000,-4316,-30.83
142,Gujarat,IT Services,Male,5th Pass,25,15997,21600,5603,25.94,True,9000,-6997,-77.74
143,Punjab,Agriculture,Male,10th Pass,20,22967,18500,-4467,-24.15,False,14000,-8967,-64.05
144,Karnataka,Textiles,Male,10th Pass,21,18660,21600,2940,13.61,True,14000,-4660,-33.29
145,Gujarat,Mining,Female,10th Pass,18,14949,21600,6651,30.79,True,14000,-949,-6.78
146,West Bengal,Construction,Female,5th Pass,22,13980,20400,6420,31.47,True,9000,-4980,-55.33
147,Rajasthan,Retail,Male,12th Pass,18,21465,19500,-1965,-10.08,False,18000,-3465,-19.25
148,Maharashtra,Metals,Male,Diploma,25,32875,20400,-12475,-61.15,False,22000,-10875,-49.43
149,Uttar Pradesh,Machinery,Male,Post-Graduate,25,61336,19500,-41836,-214.54,False,45000,-16336,-36.3
150,Maharashtra,Machinery,Female,12th Pass,25,18434,20400,1966,9.64,True,18000,-434,-2.41
151,Uttar Pradesh,IT Services,Male,10th Pass,12,15823,19500,3677,18.86,True,14000,-1823,-13.02
152,Uttar Pradesh,IT Services,Female,Diploma,22,24491,19500,-4991,-25.59,False,22000,-2491,-11.32
153,Uttar Pradesh,Food Processing,Male,12th Pass,34,31430,19500,-11930,-61.18,False,18000,-13430,-74.61
154,Madhya Pradesh,Silk,Male,12th Pass,26,23551,18000,-5551,-30.84,False,18000,-5551,-30.84
155,Uttar Pradesh,Agriculture,Male,Diploma,13,27796,19500,-8296,-42.54,False,22000,-5796,-26.35
156,Chhattisgarh,Textiles,Male,12th Pass,18,25712,22500,-3212,-14.28,False,18000,-7712,-42.84
157,Telangana,Manufacturing,Female,12th Pass,20,23651,19500,-4151,-21.29,False,18000,-5651,-31.39
158,Tamil Nadu,IT Services,Female,10th Pass,33,21987,18000,-3987,-22.15,False,14000,-7987,-57.05
159,Haryana,Food Processing,Male,12th Pass,12,18330,20400,2070,10.15,True,18000,-330,-1.83
160,Haryana,IT Services,Male,Diploma,17,22762,20400,-2362,-11.58,False,22000,-762,-3.46
161,Madhya Pradesh,Manufacturing,Female,12th Pass,10,18666,18000,-666,-3.7,False,18000,-666,-3.7
162,Madhya Pradesh,Manufacturing,Male,10th Pass,3,13948,18000,4052,22.51,True,14000,52,0.37
163,Maharashtra,Construction,Female,12th Pass,27,25520,20400,-5120,-25.1,False,18000,-7520,-41.78
164,Odisha,Manufacturing,Female,10th Pass,16,13813,17500,3687,21.07,True,14000,187,1.34
165,Tamil Nadu,Manufacturing,Male,Diploma,7,23106,18000,-5106,-28.37,False,22000,-1106,-5.03
166,Tamil Nadu,Construction,Male,12th Pass,26,30881,18000,-12881,-71.56,False,18000,-12881,-71.56
167,Tamil Nadu,IT Services,Male,Illiterate,33,15594,18000,2406,13.37,True,7000,-8594,-122.77
168,Jharkhand,Food Processing,Male,Illiterate,19,10853,17800,6947,39.03,True,7000,-3853,-55.04
169,Rajasthan,IT Services,Male,Graduate,14,38756,19500,-19256,-98.75,False,32000,-6756,-21.11
170,Gujarat,Manufacturing,Male,Diploma,4,22682,21600,-1082,-5.01,False,22000,-682,-3.1
171,Uttar Pradesh,Chemicals,Female,10th Pass,8,12259,19500,7241,37.13,True,14000,1741,12.44
172,Rajasthan,Leather,Male,Post-Graduate,30,61947,19500,-42447,-217.68,False,45000,-16947,-37.66
173,Odisha,Manufacturing,Male,10th Pass,34,19472,17500,-1972,-11.27,False,14000,-5472,-39.09
174,Chhattisgarh,Manufacturing,Male,5th Pass,24,14672,22500,7828,34.79,True,9000,-5672,-63.02
175,Maharashtra,IT Services,Male,5th Pass,33,20592,20400,-192,-0.94,False,9000,-11592,-128.8
176,Maharashtra,Manufacturing,Male,10th Pass,19,19807,20400,593,2.91,True,14000,-5807,-41.48
177,Gujarat,Chemicals,Male,5th Pass,24,14202,21600,7398,34.25,True,9000,-5202,-57.8
178,Maharashtra,Agriculture,Male,Diploma,15,30035,20400,-9635,-47.23,False,22000,-8035,-36.52
179,Maharashtra,Textiles,Female,Diploma,8,17218,20400,3182,15.6,True,22000,4782,21.74
180,Maharashtra,Services,Male,Diploma,18,30468,20400,-10068,-49.35,False,22000,-8468,-38.49
181,Assam,Textiles,Male,Diploma,17,28468,16800,-11668,-69.45,False,22000,-6468,-29.4
182,Maharashtra,Leather,Male,Illiterate,22,12415,20400,7985,39.14,True,7000,-5415,-77.36
183,Karnataka,Silk,Male,12th Pass,33,30715,21600,-9115,-42.2,False,18000,-12715,-70.64
184,Karnataka,Chemicals,Male,Illiterate,24,14727,21600,6873,31.82,True,7000,-7727,-110.39
185,Telangana,Agriculture,Male,Graduate,34,38511,19500,-19011,-97.49,False,32000,-6511,-20.35
186,Telangana,Retail,Male,5th Pass,16,13892,19500,5608,28.76,True,9000,-4892,-54.36
187,Gujarat,Textiles,Female,5th Pass,26,16804,21600,4796,22.2,True,9000,-7804,-86.71
188,Odisha,Construction,Male,Diploma,9,26959,17500,-9459,-54.05,False,22000,-4959,-22.54
189,Tamil Nadu,Retail,Male,5th Pass,2,10149,18000,7851,43.62,True,9000,-1149,-12.77
190,Gujarat,Silk,Female,Illiterate,15,10583,21600,11017,51.0,True,7000,-3583,-51.19
191,Karnataka,Metals,Female,10th Pass,12,15654,21600,5946,27.53,True,14000,-1654,-11.81
192,Maharashtra,Retail,Male,Diploma,27,28827,20400,-8427,-41.31,False,22000,-6827,-31.03
193,Uttar Pradesh,Food Processing,Male,10th Pass,12,17614,19500,1886,9.67,True,14000,-3614,-25.81
194,Karnataka,Small Manufacturing,Female,12th Pass,13,16691,21600,4909,22.73,True,18000,1309,7.27
195,Maharashtra,Agriculture,Female,Illiterate,30,14377,20400,6023,29.52,True,7000,-7377,-105.39
196,Maharashtra,Chemicals,Female,5th Pass,12,10977,20400,9423,46.19,True,9000,-1977,-21.97
197,Maharashtra,Construction,Male,10th Pass,27,17978,20400,2422,11.87,True,14000,-3978,-28.41
198,Uttar Pradesh,Small Manufacturing,Female,10th Pass,0,9967,19500,9533,48.89,True,14000,4033,28.81
199,Karnataka,Leather,Male,12th Pass,22,20258,21600,1342,6.21,True,18000,-2258,-12.54
200,Maharashtra,Machinery,Female,10th Pass,34,16746,20400,3654,17.91,True,14000,-2746,-19.61
201,Tamil Nadu,Food Processing,Male,12th Pass,5,16354,18000,1646,9.14,True,18000,1646,9.14
202,Gujarat,Leather,Male,12th Pass,1,15300,21600,6300,29.17,True,18000,2700,15.0
203,Uttar Pradesh,IT Services,Male,12th Pass,31,26173,19500,-6673,-34.22,False,18000,-8173,-45.41
204,Madhya Pradesh,IT Services,Female,12th Pass,22,22646,18000,-4646,-25.81,False,18000,-4646,-25.81
205,Tamil Nadu,Silk,Male,Illiterate,13,10986,18000,7014,38.97,True,7000,-3986,-56.94
206,Karnataka,Agriculture,Male,12th Pass,5,21897,21600,-297,-1.38,False,18000,-3897,-21.65
207,Telangana,Textiles,Female,Diploma,10,20778,19500,-1278,-6.55,False,22000,1222,5.55
208,Uttar Pradesh,Mining,Male,12th Pass,17,20012,19500,-512,-2.63,False,18000,-2012,-11.18
209,Chhattisgarh,Manufacturing,Male,10th Pass,14,21393,22500,1107,4.92,True,14000,-7393,-52.81
210,Maharashtra,Agriculture,Female,5th Pass,21,11414,20400,8986,44.05,True,9000,-2414,-26.82
211,Tamil Nadu,Construction,Male,Post-Graduate,9,50961,18000,-32961,-183.12,False,45000,-5961,-13.25
212,Gujarat,IT Services,Male,12th Pass,9,22176,21600,-576,-2.67,False,18000,-4176,-23.2
213,Karnataka,Machinery,Male,5th Pass,33,20378,21600,1222,5.66,True,9000,-11378,-126.42
214,Jharkhand,Small Manufacturing,Female,Illiterate,31,15932,17800,1868,10.49,True,7000,-8932,-127.6
215,Karnataka,Small Manufacturing,Male,Diploma,18,22827,21600,-1227,-5.68,False,22000,-827,-3.76
216,Haryana,Metals,Male,10th Pass,8,15734,20400,4666,22.87,True,14000,-1734,-12.39
217,Uttar Pradesh,Retail,Male,Diploma,18,24187,19500,-4687,-24.04,False,22000,-2187,-9.94
218,Maharashtra,Retail,Male,10th Pass,28,23018,20400,-2618,-12.83,False,14000,-9018,-64.41
219,Madhya Pradesh,Chemicals,Male,12th Pass,24,22939,18000,-4939,-27.44,False,18000,-4939,-27.44
220,Karnataka,Small Manufacturing,Male,10th Pass,8,17869,21600,3731,17.27,True,14000,-3869,-27.64
221,Chhattisgarh,IT Services,Male,10th Pass,34,20204,22500,2296,10.2,True,14000,-6204,-44.31
222,West Bengal,Agriculture,Male,12th Pass,16,22612,20400,-2212,-10.84,False,18000,-4612,-25.62
223,Maharashtra,Construction,Male,12th Pass,22,28552,20400,-8152,-39.96,False,18000,-10552,-58.62
224,Jharkhand,Mining,Male,10th Pass,15,17669,17800,131,0.74,True,14000,-3669,-26.21
225,Uttar Pradesh,Construction,Male,10th Pass,18,21477,19500,-1977,-10.14,False,14000,-7477,-53.41
226,Gujarat,Construction,Male,12th Pass,22,22137,21600,-537,-2.49,False,18000,-4137,-22.98
227,Maharashtra,IT Services,Female,10th Pass,16,16219,20400,4181,20.5,True,14000,-2219,-15.85
228,Maharashtra,Retail,Male,Post-Graduate,32,65411,20400,-45011,-220.64,False,45000,-20411,-45.36
229,Karnataka,Agriculture,Male,12th Pass,13,22202,21600,-602,-2.79,False,18000,-4202,-23.34
230,Karnataka,Silk,Female,10th Pass,33,23345,21600,-1745,-8.08,False,14000,-9345,-66.75
231,Uttar Pradesh,Textiles,Male,Graduate,5,38084,19500,-18584,-95.3,False,32000,-6084,-19.01
232,Tamil Nadu,IT Services,Male,5th Pass,3,10239,18000,7761,43.12,True,9000,-1239,-13.77
233,Maharashtra,Agriculture,Female,12th Pass,3,17684,20400,2716,13.31,True,18000,316,1.76
234,Uttar Pradesh,Textiles,Male,10th Pass,1,13921,19500,5579,28.61,True,14000,79,0.56
235,Maharashtra,Retail,Male,Illiterate,20,15083,20400,5317,26.06,True,7000,-8083,-115.47
236,Uttar Pradesh,Mining,Female,5th Pass,22,14090,19500,5410,27.74,True,9000,-5090,-56.56
237,Uttar Pradesh,Food Processing,Female,Diploma,25,26548,19500,-7048,-36.14,False,22000,-4548,-20.67
238,Maharashtra,Agriculture,Male,10th Pass,10,16921,20400,3479,17.05,True,14000,-2921,-20.86
239,Haryana,Agriculture,Female,Illiterate,30,15132,20400,5268,25.82,True,7000,-8132,-116.17
240,Maharashtra,Manufacturing,Male,10th Pass,4,14785,20400,5615,27.52,True,14000,-785,-5.61
241,Maharashtra,Services,Male,12th Pass,23,24901,20400,-4501,-22.06,False,18000,-6901,-38.34
242,Karnataka,Agriculture,Male,5th Pass,24,18538,21600,3062,14.18,True,9000,-9538,-105.98
243,Haryana,Services,Female,Graduate,13,31750,20400,-11350,-55.64,False,32000,250,0.78
244,Haryana,Silk,Female,12th Pass,28,20956,20400,-556,-2.73,False,18000,-2956,-16.42
245,Odisha,Agriculture,Male,5th Pass,27,20023,17500,-2523,-14.42,False,9000,-11023,-122.48
246,Maharashtra,Machinery,Female,Graduate,32,29782,20400,-9382,-45.99,False,32000,2218,6.93
247,Haryana,Food Processing,Male,12th Pass,9,20625,20400,-225,-1.1,False,18000,-2625,-14.58
248,Maharashtra,Silk,Male,12th Pass,22,24118,20400,-3718,-18.23,False,18000,-6118,-33.99
249,Tamil Nadu,Textiles,Female,5th Pass,18,10235,18000,7765,43.14,True,9000,-1235,-13.72
250,Maharashtra,Agriculture,Female,10th Pass,28,20872,20400,-472,-2.31,False,14000,-6872,-49.09
251,Tamil Nadu,Leather,Male,10th Pass,1,14978,18000,3022,16.79,True,14000,-978,-6.99
252,Maharashtra,Machinery,Male,12th Pass,3,19138,20400,1262,6.19,True,18000,-1138,-6.32
253,Tamil Nadu,Manufacturing,Male,Graduate,31,41106,18000,-23106,-128.37,False,32000,-9106,-28.46
254,Haryana,Agriculture,Male,5th Pass,31,16125,20400,4275,20.96,True,9000,-7125,-79.17
255,Uttar Pradesh,Textiles,Female,Graduate,18,32524,19500,-13024,-66.79,False,32000,-524,-1.64
256,Karnataka,Chemicals,Male,12th Pass,34,30077,21600,-8477,-39.25,False,18000,-12077,-67.09
257,Jharkhand,Manufacturing,Male,12th Pass,10,23546,17800,-5746,-32.28,False,18000,-5546,-30.81
258,Haryana,Small Manufacturing,Female,Diploma,28,29470,20400,-9070,-44.46,False,22000,-7470,-33.95
259,Odisha,Chemicals,Male,10th Pass,6,16816,17500,684,3.91,True,14000,-2816,-20.11
260,Tamil Nadu,Agriculture,Male,5th Pass,2,8709,18000,9291,51.62,True,9000,291,3.23
261,Telangana,Food Processing,Male,10th Pass,12,21045,19500,-1545,-7.92,False,14000,-7045,-50.32
