Worker_ID,Industry,Skill_Level,Education_Level,Experience_Years,Employment_Type,Contract_Type,Working_Hours_Per_Day,Overtime_Hours,Productivity_Score,Region_Type,State,Cost_of_Living_Index,Minimum_Wage_Legal,Law_Revision_Year,Enforcement_Level,Actual_Wage,Written_Contract,Fair_Wage_AI,Wage_Gap,Gap_Severity,Likely_Law_Gap
50024,Handloom Silk,Unskilled,Secondary,10.0,Permanent,Verbal,,,68.0,Urban,Karnataka,1.1,583.0,2018.0,Weak,660.0,No,900.0,240.0,Severe,Outdated minimum wage
50025,MSME Engineering,Unskilled,None,,Contract,Daily,10.0,2.0,47.0,Urban,Tamil Nadu,1.15,366.0,2016.0,Weak,466.0,No,,,,
50026,Leather Tannery,Unskilled,Secondary,1.0,Permanent,Contractor,9.0,1.0,72.0,Rural,Karnataka,1.1,345.0,2010.0,Medium,319.0,,548.0,229.0,Severe,Weak enforcement
50027,Silk,Semi-skilled,Diploma,13.0,Permanent,Daily,10.0,2.0,84.0,Rural,West Bengal,1.05,,,,519.0,No,,,,
50028,Leather,,,,Contract,Contractor,10.0,2.0,,Rural,Uttar Pradesh,0.85,528.0,2016.0,Weak,506.0,,,,,
50029,Handloom Silk,,,3.0,Contract,Contractor,11.0,3.0,,Urban,West Bengal,1.05,354.0,2020.0,Weak,587.0,,,,,
50030,MSME Engineering,Unskilled,Secondary,6.0,Permanent,Written,9.0,1.0,70.0,Urban,Telangana,1.08,366.0,2010.0,Medium,353.0,Yes,611.0,258.0,Severe,Contractor loophole
50031,MSME Engineering,Semi-skilled,Secondary,19.0,Contract,Daily,9.0,1.0,89.0,Rural,Madhya Pradesh,0.88,,,,485.0,No,,,,
50032,Handloom Silk,Unskilled,Secondary,11.0,Permanent,Verbal,12.0,4.0,65.0,Rural,Madhya Pradesh,0.88,,,,408.0,No,,,,
50033,Leather,Semi-skilled,,3.0,Contract,Contractor,8.0,0.0,50.0,Rural,Tamil Nadu,1.15,,,,295.0,,,,,
50034,Handloom Silk,Semi-skilled,Secondary,20.0,Permanent,Daily,9.0,1.0,50.0,Rural,Karnataka,1.1,499.0,2013.0,Strong,616.0,No,906.0,290.0,Severe,Unpaid overtime
50035,Handloom Silk,Skilled,,8.0,Contract,Verbal,8.0,0.0,88.0,Rural,West Bengal,1.05,343.0,2015.0,Strong,385.0,No,681.0,296.0,Severe,Contractor loophole
50036,Silk,Skilled,,,Contract,Daily,11.0,3.0,49.0,Urban,Karnataka,1.1,569.0,2012.0,Strong,283.0,No,,,,
50037,Textile (Powerloom),Skilled,Primary,7.0,Permanent,Written,11.0,3.0,76.0,Rural,West Bengal,1.05,447.0,2020.0,Weak,428.0,Yes,754.0,326.0,Severe,Weak enforcement
50038,Silk,Skilled,Secondary,19.0,Permanent,Contractor,9.0,1.0,45.0,Rural,Maharashtra,1.25,350.0,2016.0,Medium,541.0,,850.0,309.0,Severe,Unpaid overtime
50039,Leather Tannery,Semi-skilled,None,8.0,Permanent,Verbal,,,50.0,Urban,Gujarat,1.12,448.0,2010.0,Medium,536.0,No,731.0,195.0,Severe,Informal labor exclusion
50040,Textile (Powerloom),,,4.0,Contract,Written,10.0,2.0,,Urban,West Bengal,1.05,357.0,2016.0,Weak,610.0,Yes,,,,
50041,MSME Manufacturing,Semi-skilled,None,,Permanent,Verbal,11.0,3.0,70.0,Rural,Assam,0.78,,,,322.0,No,,,,
50042,MSME Engineering,Semi-skilled,None,,Permanent,Daily,10.0,2.0,70.0,Urban,Tamil Nadu,1.15,306.0,2015.0,Weak,628.0,No,,,,
50043,Leather Tannery,Skilled,,4.0,Contract,Verbal,10.0,2.0,51.0,Urban,West Bengal,1.05,376.0,2016.0,Weak,559.0,No,596.0,37.0,Mild,Acceptable compliance
50044,MSME Engineering,Semi-skilled,ITI,17.0,Contract,Contractor,9.0,1.0,91.0,Urban,Gujarat,1.12,510.0,2010.0,Weak,790.0,,993.0,203.0,Severe,Weak enforcement
50045,Leather Tannery,Semi-skilled,,,Contract,Written,10.0,2.0,70.0,Rural,Telangana,1.08,585.0,2020.0,Medium,592.0,Yes,,,,
50046,MSME Engineering,,ITI,17.0,Contract,Written,9.0,1.0,,Rural,Uttar Pradesh,0.85,518.0,2020.0,Medium,321.0,Yes,,,,
50047,Leather,,,,Contract,Written,10.0,2.0,,Rural,Assam,0.78,511.0,2010.0,Weak,446.0,Yes,,,,
50048,MSME Engineering,Semi-skilled,None,9.0,Permanent,Contractor,10.0,2.0,53.0,Rural,Gujarat,1.12,347.0,2015.0,Strong,577.0,,636.0,59.0,Serious,Skill premium ignored
50049,MSME Engineering,Unskilled,Primary,1.0,Permanent,Contractor,11.0,3.0,90.0,Urban,Karnataka,1.1,300.0,2020.0,Medium,380.0,,539.0,159.0,Severe,Informal labor exclusion
50050,Textile (Powerloom),,None,10.0,Contract,Written,11.0,3.0,,Rural,Telangana,1.08,,,,647.0,Yes,,,,
50051,Construction,Unskilled,Secondary,4.0,Contract,Written,10.0,2.0,78.0,Rural,Bihar,0.82,350.0,2012.0,Strong,299.0,Yes,447.0,148.0,Severe,Informal labor exclusion
50052,Leather,,,5.0,Contract,Daily,9.0,1.0,,Urban,Karnataka,1.1,580.0,2015.0,Medium,376.0,No,,,,
50053,Construction,,ITI,2.0,Contract,Daily,10.0,2.0,,Urban,Karnataka,1.1,489.0,2019.0,Weak,366.0,No,,,,
50054,Textile (Powerloom),Semi-skilled,ITI,6.0,Permanent,Verbal,,,63.0,Rural,Bihar,0.82,405.0,2012.0,Strong,377.0,No,505.0,128.0,Severe,Weak enforcement
50055,Leather Tannery,,Secondary,3.0,Contract,Verbal,11.0,3.0,,Rural,Assam,0.78,513.0,2020.0,Weak,590.0,No,,,,
50056,Construction,Unskilled,None,2.0,Permanent,Daily,11.0,3.0,48.0,Rural,Maharashtra,1.25,530.0,2019.0,Weak,729.0,No,807.0,78.0,Serious,Skill premium ignored
50057,Silk,,Diploma,14.0,Contract,Contractor,8.0,0.0,,Rural,Uttar Pradesh,0.85,,,,621.0,,,,,
50058,MSME Engineering,Unskilled,None,,Permanent,Written,8.0,0.0,67.0,Urban,Tamil Nadu,1.15,587.0,2012.0,Medium,638.0,Yes,,,,
50059,Leather,Unskilled,None,3.0,Permanent,Verbal,11.0,3.0,57.0,Urban,Karnataka,1.1,542.0,2018.0,Medium,605.0,No,754.0,149.0,Severe,Weak enforcement
50060,MSME Engineering,Semi-skilled,None,0.0,Permanent,Daily,10.0,2.0,57.0,Rural,Bihar,0.82,485.0,2018.0,Strong,349.0,No,511.0,162.0,Severe,Informal labor exclusion
50061,Construction,Unskilled,Diploma,20.0,Permanent,Contractor,8.0,0.0,46.0,Urban,West Bengal,1.05,543.0,2012.0,Weak,817.0,,876.0,59.0,Serious,Skill premium ignored
50062,MSME Engineering,Semi-skilled,Primary,0.0,Permanent,Written,10.0,2.0,89.0,Urban,West Bengal,1.05,467.0,2015.0,Weak,516.0,Yes,703.0,187.0,Severe,Informal labor exclusion
50063,Silk,Unskilled,ITI,2.0,Permanent,Written,8.0,0.0,75.0,Rural,Gujarat,1.12,518.0,2013.0,Medium,727.0,Yes,770.0,43.0,Mild,Acceptable compliance
50064,Leather Tannery,Skilled,Primary,7.0,Contract,Daily,9.0,1.0,71.0,Rural,Maharashtra,1.25,575.0,2015.0,Strong,853.0,No,1046.0,193.0,Severe,Outdated minimum wage
50065,Leather Tannery,Semi-skilled,Secondary,6.0,Permanent,Contractor,11.0,3.0,60.0,Urban,West Bengal,1.05,420.0,2015.0,Weak,434.0,,656.0,222.0,Severe,Informal labor exclusion
50066,Leather,Unskilled,Diploma,16.0,Permanent,Contractor,9.0,1.0,86.0,Rural,Tamil Nadu,1.15,318.0,2020.0,Strong,412.0,,747.0,335.0,Severe,Weak enforcement
50067,Textile (Powerloom),Unskilled,None,,Permanent,Written,9.0,1.0,49.0,Rural,Tamil Nadu,1.15,,,,341.0,Yes,,,,
50068,Textile (Powerloom),Skilled,Primary,1.0,Contract,Daily,10.0,2.0,66.0,Urban,Maharashtra,1.25,404.0,2010.0,Weak,421.0,No,745.0,324.0,Severe,Weak enforcement
50069,Construction,Skilled,Secondary,2.0,Permanent,Written,9.0,1.0,47.0,Urban,Tamil Nadu,1.15,332.0,2020.0,Medium,336.0,Yes,570.0,234.0,Severe,Unpaid overtime
50070,Handloom Silk,Semi-skilled,Secondary,13.0,Contract,Verbal,10.0,2.0,92.0,Rural,Gujarat,1.12,513.0,2019.0,Medium,854.0,No,954.0,100.0,Serious,Skill premium ignored
50071,MSME Manufacturing,Unskilled,None,2.0,Permanent,Verbal,8.0,0.0,70.0,Rural,Assam,0.78,383.0,2020.0,Medium,235.0,No,423.0,188.0,Severe,Informal labor exclusion
50072,Handloom Silk,Unskilled,Secondary,9.0,Permanent,Written,9.0,1.0,78.0,Rural,Karnataka,1.1,,,,284.0,Yes,,,,
50073,Silk,,ITI,10.0,Contract,Contractor,8.0,0.0,,Urban,Karnataka,1.1,344.0,2019.0,Strong,614.0,,,,,
50074,Handloom Silk,Semi-skilled,Primary,18.0,Permanent,Written,9.0,1.0,47.0,Rural,Assam,0.78,,,,515.0,Yes,,,,
50075,Handloom Silk,,Primary,1.0,Contract,Written,8.0,0.0,,Urban,Karnataka,1.1,360.0,2018.0,Strong,449.0,Yes,,,,
50076,Textile (Powerloom),Skilled,Primary,13.0,Permanent,Contractor,11.0,3.0,87.0,Urban,Gujarat,1.12,557.0,2020.0,Medium,633.0,,1020.0,387.0,Severe,Outdated minimum wage
50077,Textile (Powerloom),Unskilled,ITI,12.0,Permanent,Verbal,,,53.0,Rural,Telangana,1.08,,,,,No,,,,
50078,MSME Manufacturing,Unskilled,Primary,2.0,Permanent,Daily,10.0,2.0,94.0,Rural,Uttar Pradesh,0.85,558.0,2010.0,Weak,528.0,No,651.0,123.0,Severe,Weak enforcement
50079,Construction,,Secondary,5.0,Contract,Written,9.0,1.0,,Rural,Uttar Pradesh,0.85,,,,429.0,Yes,,,,
50080,Leather Tannery,Semi-skilled,Primary,8.0,Permanent,Contractor,11.0,3.0,58.0,Rural,Madhya Pradesh,0.88,463.0,2015.0,Strong,339.0,,601.0,262.0,Severe,Weak enforcement
50081,MSME Engineering,Semi-skilled,Primary,8.0,Permanent,Contractor,8.0,0.0,94.0,Rural,Madhya Pradesh,0.88,531.0,2018.0,Strong,549.0,,725.0,176.0,Severe,Outdated minimum wage
50082,Leather Tannery,Semi-skilled,Secondary,18.0,Permanent,Contractor,9.0,1.0,68.0,Urban,Gujarat,1.12,526.0,2012.0,Medium,602.0,,971.0,369.0,Severe,Outdated minimum wage
50083,Leather Tannery,Skilled,None,3.0,Permanent,Contractor,9.0,1.0,63.0,Urban,Gujarat,1.12,513.0,2019.0,Strong,559.0,,805.0,246.0,Severe,Outdated minimum wage
50084,Handloom Silk,,Secondary,3.0,Contract,Daily,10.0,2.0,,Rural,Telangana,1.08,368.0,2016.0,Medium,354.0,No,,,,
50085,MSME Manufacturing,,Primary,14.0,Contract,Written,8.0,0.0,,Urban,Maharashtra,1.25,438.0,2013.0,Weak,455.0,Yes,,,,
50086,Leather Tannery,Skilled,Diploma,15.0,Contract,Contractor,9.0,1.0,55.0,Rural,Bihar,0.82,572.0,2010.0,Weak,515.0,,723.0,208.0,Severe,Weak enforcement
50087,Handloom Silk,Skilled,Primary,13.0,Contract,Daily,9.0,1.0,78.0,Rural,Bihar,0.82,389.0,2019.0,Strong,400.0,No,594.0,194.0,Severe,Contractor loophole
50088,Construction,Skilled,ITI,2.0,Permanent,Verbal,11.0,3.0,56.0,Rural,Telangana,1.08,,,,303.0,No,,,,
50089,Leather Tannery,,Secondary,1.0,Contract,Daily,10.0,2.0,,Rural,Assam,0.78,567.0,2019.0,Strong,385.0,No,,,,
50090,Leather Tannery,,Primary,5.0,Contract,Daily,10.0,2.0,,Rural,Assam,0.78,,,,449.0,No,,,,
50091,MSME Manufacturing,Semi-skilled,Diploma,0.0,Permanent,Verbal,11.0,3.0,91.0,Rural,Maharashtra,1.25,,,,407.0,No,,,,
50092,Leather,,,2.0,Contract,Written,10.0,2.0,,Rural,Karnataka,1.1,315.0,2010.0,Strong,271.0,Yes,,,,
50093,Handloom Silk,,Secondary,6.0,Contract,Daily,8.0,0.0,,Rural,Bihar,0.82,354.0,2019.0,Strong,376.0,No,,,,
50094,Leather,,None,10.0,Contract,Daily,10.0,2.0,,Rural,Assam,0.78,404.0,2012.0,Weak,400.0,No,,,,
50095,MSME Manufacturing,Semi-skilled,Secondary,9.0,Permanent,Daily,8.0,0.0,90.0,Urban,Tamil Nadu,1.15,557.0,2018.0,Medium,871.0,No,979.0,108.0,Serious,Skill premium ignored
50096,Construction,Semi-skilled,ITI,1.0,Permanent,Daily,9.0,1.0,90.0,Rural,Karnataka,1.1,387.0,2016.0,Weak,364.0,No,662.0,298.0,Severe,Weak enforcement
50097,Leather Tannery,Semi-skilled,Primary,15.0,Contract,Contractor,10.0,2.0,77.0,Rural,Bihar,0.82,,,,331.0,,,,,
50098,Leather Tannery,,None,8.0,Contract,Verbal,10.0,2.0,,Rural,Assam,0.78,,,,455.0,No,,,,
50099,MSME Engineering,Semi-skilled,Primary,9.0,Permanent,Daily,10.0,2.0,72.0,Rural,Uttar Pradesh,0.85,494.0,2013.0,Strong,411.0,No,640.0,229.0,Severe,Unpaid overtime
50100,Handloom Silk,Skilled,Primary,14.0,Permanent,Contractor,10.0,2.0,55.0,Rural,Gujarat,1.12,596.0,2016.0,Strong,602.0,,1003.0,401.0,Severe,Unpaid overtime
50101,Leather,Skilled,Diploma,4.0,Permanent,Contractor,9.0,1.0,60.0,Rural,Gujarat,1.12,382.0,2018.0,Strong,451.0,,663.0,212.0,Severe,Weak enforcement
50102,Leather Tannery,,,,Contract,Daily,10.0,2.0,,Rural,Uttar Pradesh,0.85,400.0,2016.0,Medium,305.0,No,,,,
50103,Silk,Unskilled,None,,Permanent,Verbal,9.0,1.0,77.0,Rural,West Bengal,1.05,311.0,2020.0,Medium,322.0,No,,,,
50104,Leather Tannery,Semi-skilled,Diploma,20.0,Contract,Written,11.0,3.0,59.0,Urban,Maharashtra,1.25,392.0,2015.0,Strong,550.0,Yes,918.0,368.0,Severe,Unpaid overtime
50105,MSME Manufacturing,Semi-skilled,Primary,8.0,Permanent,Written,11.0,3.0,75.0,Rural,West Bengal,1.05,565.0,2019.0,Strong,701.0,Yes,861.0,160.0,Severe,Weak enforcement
50106,MSME Manufacturing,Unskilled,None,,Permanent,Verbal,,,90.0,Rural,Bihar,0.82,351.0,2018.0,Weak,,No,,,,
50107,Textile (Powerloom),Skilled,Secondary,16.0,Permanent,Daily,10.0,2.0,71.0,Rural,Gujarat,1.12,394.0,2015.0,Medium,630.0,No,835.0,205.0,Severe,Outdated minimum wage
50108,MSME Manufacturing,Semi-skilled,ITI,1.0,Permanent,Contractor,8.0,0.0,49.0,Rural,Bihar,0.82,597.0,2018.0,Medium,355.0,,598.0,243.0,Severe,Contractor loophole
50109,MSME Engineering,Unskilled,Primary,4.0,Permanent,Verbal,8.0,0.0,85.0,Rural,Gujarat,1.12,,,,578.0,No,,,,
50110,Leather,Semi-skilled,Secondary,17.0,Permanent,Verbal,11.0,3.0,67.0,Rural,Madhya Pradesh,0.88,492.0,2016.0,Weak,470.0,No,722.0,252.0,Severe,Unpaid overtime
50111,Handloom Silk,Unskilled,Secondary,10.0,Permanent,Contractor,11.0,3.0,76.0,Rural,Telangana,1.08,485.0,2012.0,Strong,732.0,,795.0,63.0,Serious,Skill premium ignored
50112,MSME Engineering,Unskilled,Secondary,20.0,Contract,Contractor,8.0,0.0,87.0,Rural,Bihar,0.82,,,,286.0,,,,,
50113,Leather Tannery,,Primary,6.0,Contract,Written,11.0,3.0,,Rural,West Bengal,1.05,580.0,2012.0,Weak,575.0,Yes,,,,
50114,Leather Tannery,Skilled,None,7.0,Permanent,Written,8.0,0.0,80.0,Rural,Assam,0.78,,,,464.0,Yes,,,,
50115,Leather,Skilled,None,2.0,Permanent,Verbal,9.0,1.0,76.0,Rural,Madhya Pradesh,0.88,,,,556.0,No,,,,
50116,Construction,Skilled,Diploma,15.0,Permanent,Verbal,11.0,3.0,68.0,Rural,Madhya Pradesh,0.88,392.0,2012.0,Strong,444.0,No,640.0,196.0,Severe,Outdated minimum wage
50117,Construction,Skilled,ITI,15.0,Permanent,Daily,9.0,1.0,47.0,Rural,Maharashtra,1.25,,,,462.0,No,,,,
50118,Handloom Silk,Semi-skilled,Diploma,17.0,Permanent,Contractor,9.0,1.0,63.0,Rural,Tamil Nadu,1.15,583.0,2016.0,Medium,915.0,,1039.0,124.0,Severe,Contractor loophole
50119,MSME Manufacturing,Skilled,Secondary,6.0,Permanent,Contractor,11.0,3.0,95.0,Urban,Telangana,1.08,398.0,2018.0,Weak,628.0,,753.0,125.0,Severe,Weak enforcement
50120,Silk,Skilled,Diploma,1.0,Permanent,Verbal,8.0,0.0,45.0,Rural,Bihar,0.82,,,,493.0,No,,,,
50121,Construction,,ITI,20.0,Contract,Daily,9.0,1.0,,Urban,Gujarat,1.12,318.0,2013.0,Weak,465.0,No,,,,
50122,Silk,Semi-skilled,Diploma,8.0,Permanent,Written,10.0,2.0,56.0,Rural,Bihar,0.82,520.0,2010.0,Medium,487.0,Yes,604.0,117.0,Serious,Skill premium ignored
50123,Construction,Semi-skilled,None,9.0,Contract,Verbal,9.0,1.0,75.0,Rural,Telangana,1.08,342.0,2012.0,Strong,483.0,No,655.0,172.0,Severe,Weak enforcement
50124,Construction,Unskilled,,,Contract,Daily,11.0,3.0,46.0,Rural,Karnataka,1.1,,,,541.0,No,,,,
50125,Leather,Skilled,Primary,2.0,Contract,Contractor,10.0,2.0,85.0,Rural,Telangana,1.08,430.0,2020.0,Medium,605.0,,723.0,118.0,Serious,Skill premium ignored
50126,Construction,Semi-skilled,Primary,15.0,Contract,Daily,8.0,0.0,65.0,Rural,Bihar,0.82,,,,544.0,No,,,,
50127,Textile (Powerloom),Skilled,,7.0,Contract,Daily,11.0,3.0,94.0,Rural,Telangana,1.08,449.0,2018.0,Medium,469.0,No,817.0,348.0,Severe,Informal labor exclusion
50128,MSME Manufacturing,Unskilled,,9.0,Contract,Contractor,9.0,1.0,73.0,Rural,Maharashtra,1.25,,,,250.0,,,,,
50129,MSME Manufacturing,Skilled,None,,Permanent,Written,9.0,1.0,81.0,Urban,West Bengal,1.05,580.0,2016.0,Weak,600.0,Yes,,,,
50130,Textile (Powerloom),Unskilled,Primary,9.0,Permanent,Verbal,11.0,3.0,74.0,Rural,Tamil Nadu,1.15,497.0,2010.0,Medium,647.0,No,845.0,198.0,Severe,Informal labor exclusion
50131,MSME Manufacturing,Semi-skilled,Diploma,10.0,Contract,Verbal,12.0,4.0,57.0,Rural,Uttar Pradesh,0.85,,,,348.0,No,,,,
50132,Silk,Skilled,Diploma,11.0,Permanent,Contractor,11.0,3.0,94.0,Rural,Madhya Pradesh,0.88,322.0,2015.0,Weak,412.0,,589.0,177.0,Severe,Outdated minimum wage
50133,MSME Manufacturing,Semi-skilled,,1.0,Contract,Contractor,8.0,0.0,58.0,Rural,Telangana,1.08,600.0,2020.0,Strong,515.0,,811.0,296.0,Severe,Contractor loophole
50134,MSME Engineering,Semi-skilled,None,,Permanent,Written,9.0,1.0,69.0,Rural,Uttar Pradesh,0.85,,,,276.0,Yes,,,,
50135,Construction,Unskilled,Diploma,20.0,Permanent,Verbal,8.0,0.0,90.0,Urban,Gujarat,1.12,463.0,2016.0,Weak,607.0,No,944.0,337.0,Severe,Outdated minimum wage
50136,MSME Engineering,Semi-skilled,Primary,7.0,Permanent,Written,9.0,1.0,47.0,Rural,Madhya Pradesh,0.88,583.0,2010.0,Medium,600.0,Yes,679.0,79.0,Serious,Skill premium ignored
50137,Construction,,Primary,9.0,Contract,Daily,11.0,3.0,,Urban,West Bengal,1.05,541.0,2012.0,Strong,415.0,No,,,,
50138,MSME Manufacturing,Unskilled,Primary,0.0,Contract,Contractor,11.0,3.0,90.0,Urban,West Bengal,1.05,380.0,2010.0,Weak,341.0,,588.0,247.0,Severe,Informal labor exclusion
50139,MSME Manufacturing,Semi-skilled,None,7.0,Permanent,Daily,10.0,2.0,65.0,Rural,Madhya Pradesh,0.88,487.0,2012.0,Medium,427.0,No,626.0,199.0,Severe,Outdated minimum wage
50140,Handloom Silk,Semi-skilled,ITI,13.0,Permanent,Written,9.0,1.0,54.0,Rural,Telangana,1.08,,,,542.0,Yes,,,,
50141,Leather Tannery,Unskilled,Secondary,14.0,Permanent,Verbal,8.0,0.0,54.0,Rural,Tamil Nadu,1.15,586.0,2015.0,Weak,847.0,No,959.0,112.0,Serious,Skill premium ignored
50142,Silk,Semi-skilled,Primary,7.0,Permanent,Verbal,,,63.0,Rural,West Bengal,1.05,450.0,2010.0,Weak,427.0,No,704.0,277.0,Severe,Outdated minimum wage
50143,Textile (Powerloom),,Diploma,9.0,Contract,Verbal,,,,Urban,Gujarat,1.12,509.0,2010.0,Medium,,No,,,,
50144,Leather,Unskilled,Primary,19.0,Contract,Written,8.0,0.0,50.0,Rural,West Bengal,1.05,440.0,2020.0,Strong,484.0,Yes,766.0,282.0,Severe,Informal labor exclusion
50145,Leather,,ITI,1.0,Contract,Daily,10.0,2.0,,Urban,Maharashtra,1.25,552.0,2016.0,Medium,296.0,No,,,,
50146,Construction,,Secondary,1.0,Contract,Contractor,9.0,1.0,,Urban,Karnataka,1.1,594.0,2018.0,Strong,554.0,,,,,
50147,Construction,Unskilled,Secondary,12.0,Contract,Daily,8.0,0.0,63.0,Urban,Tamil Nadu,1.15,528.0,2020.0,Weak,498.0,No,890.0,392.0,Severe,Informal labor exclusion
50148,Handloom Silk,,,,Contract,Daily,10.0,2.0,,Rural,Bihar,0.82,349.0,2010.0,Weak,607.0,No,,,,
50149,Leather,Skilled,ITI,3.0,Permanent,Written,10.0,2.0,51.0,Rural,West Bengal,1.05,363.0,2016.0,Weak,427.0,Yes,572.0,145.0,Severe,Informal labor exclusion
50150,Leather Tannery,Unskilled,Primary,7.0,Contract,Daily,9.0,1.0,87.0,Rural,Uttar Pradesh,0.85,384.0,2019.0,Strong,493.0,No,533.0,40.0,Mild,Acceptable compliance
50151,MSME Engineering,Semi-skilled,Secondary,12.0,Permanent,Daily,9.0,1.0,66.0,Rural,Karnataka,1.1,505.0,2018.0,Strong,491.0,No,860.0,369.0,Severe,Informal labor exclusion
50152,Handloom Silk,Semi-skilled,None,1.0,Permanent,Daily,10.0,2.0,72.0,Rural,Tamil Nadu,1.15,,,,592.0,No,,,,
50153,Construction,Semi-skilled,None,,Contract,Verbal,10.0,2.0,88.0,Rural,Assam,0.78,351.0,2010.0,Strong,378.0,No,,,,
50154,Silk,Unskilled,Secondary,3.0,Permanent,Written,10.0,2.0,67.0,Rural,Gujarat,1.12,563.0,2010.0,Weak,475.0,Yes,814.0,339.0,Severe,Informal labor exclusion
50155,Handloom Silk,Skilled,,,Contract,Contractor,8.0,0.0,92.0,Rural,Telangana,1.08,497.0,2015.0,Medium,353.0,,,,,
50156,MSME Manufacturing,Semi-skilled,None,,Permanent,Verbal,,,77.0,Urban,Telangana,1.08,599.0,2019.0,Strong,,No,,,,
50157,MSME Engineering,Unskilled,Secondary,17.0,Permanent,Written,10.0,2.0,76.0,Rural,Bihar,0.82,,,,360.0,Yes,,,,
50158,Leather Tannery,Skilled,ITI,1.0,Contract,Written,11.0,3.0,73.0,Rural,Bihar,0.82,,,,640.0,Yes,,,,
